S.No.,Station Name,Station Code,Latitude,Longitude
1,"Alipur, Delhi - DPCC",5024,28.815329,77.15301
2,"Anand Vihar, Delhi - DPCC",301,28.647622,77.315809
3,"Ashok Vihar, Delhi - DPCC",1420,28.695381,77.181665
4,"Aya Nagar, Delhi - IMD",108,28.4706914,77.1099364
5,"Bawana, Delhi - DPCC",1560,28.7762,77.051074
6,"Burari Crossing, Delhi - IMD",104,28.699793,77.165453
7,"CRRI Mathura Road, Delhi - IMD",103,28.5512005,77.2735737
8,"Chandni Chowk, Delhi - IITM",5393,28.656756,77.227234
9,"DTU, Delhi - CPCB",118,28.7500499,77.1112615
10,"Dr. Karni Singh Shooting Range, Delhi - DPCC",1421,28.498571,77.26484
11,"Dwarka-Sector 8, Delhi - DPCC",1422,28.5710274,77.0719006
12,"East Arjun Nagar, Delhi - CPCB",116,28.655935,77.294904
13,"IGI Airport (T3), Delhi - IMD",106,28.5627763,77.1180053
14,"IHBAS, Dilshad Garden, Delhi - CPCB",114,28.6811736,77.3025234
15,"ITO, Delhi - CPCB",117,28.628624,77.24106
16,"Jahangirpuri, Delhi - DPCC",1423,28.73282,77.170633
17,"Jawaharlal Nehru Stadium, Delhi - DPCC",1424,28.58028,77.233829
18,"Lodhi Road, Delhi - IMD",109,28.588333,77.221667
19,"Mandir Marg, Delhi - DPCC",122,28.636429,77.201067
20,"Major Dhyan Chand National Stadium, Delhi - DPCC",1425,28.611281,77.237738
21,"Mundka, Delhi - DPCC",1661,28.684678,77.076574
22,"NSIT Dwarka, Delhi - CPCB",115,28.60909,77.0325413
23,"Najafgarh, Delhi - DPCC",1427,28.570173,76.933762
24,"Narela, Delhi - DPCC",1426,28.822836,77.101981
25,"Nehru Nagar, Delhi - DPCC",1429,28.56789,77.250515
26,"North Campus, DU, Delhi - IMD",105,28.6573814,77.1585447
27,"Okhla Phase-2, Delhi - DPCC",1428,28.530785,77.271255
28,"Patparganj, Delhi - DPCC",1431,28.623763,77.287209
29,"Punjabi Bagh, Delhi - DPCC",125,28.674045,77.131023
30,"Pusa, Delhi - DPCC",1563,28.639645,77.146263
31,"R K Puram, Delhi - DPCC",124,28.563262,77.186937
32,"Rohini, Delhi - DPCC",1430,28.732528,77.11992
33,"Shadipur, Delhi - CPCB",113,28.6514781,77.1473105
34,"Sirifort, Delhi - CPCB",119,28.5504249,77.2159377
35,"Sonia Vihar, Delhi - DPCC",1432,28.710508,77.249485
36,"Sri Aurobindo Marg, Delhi - DPCC",1562,28.531346,77.190156
37,"Vivek Vihar, Delhi - DPCC",1435,28.672342,77.31526
38,"Wazirpur, Delhi - DPCC",1434,28.699793,77.165453